id,surname,first_name,gender,name,norm,profession_verbatim,OhdAB_01,houseno,name_old_clean,name_new,geo_long,geo_lat
1086,Harweiler,Unbekannt,Unbekannt,Unbekannt,Unbekannt,Unbekannt,Unbekannt,129,Palais-Royal,galerie de Valois,2.33797,48.8641
1087,Hase,C.,M,Angestellte,Bibliotheksfacharbeiter/in,Verwahrung der Manuscripte der Nationalbibliothek,"Unternehmensorganisation, Buchhaltung, Recht und Verwaltung",12,rue de l' Arcade-Colbert,rue Colbert,2.33836,48.8682
4247,Hasenfeld,Unbekannt,M,Handwerk,Baumeister/in,"Civil-Baumeister, ehemaliger Schüler der polytechnischen Schule","Bau, Architektur, Vermessung und Gebäudetechnik",12,Place de la Bourse,Place de la Bourse,2.34139,48.8692
4246,Hasenfeld,Unbekannt,M,Kunst/Erziehung,Professor/in (Sprachwissenschaften),Professsor u. geschworener Dollmetscher; Director des allgem. Büreaus der Uebersetzungen aller Sprachen,"Gesundheit, Soziales, Lehre und Erziehung",12,Place de la Bourse,Place de la Bourse,2.34139,48.8692
1090,Hastens,Unbekannt,M,Handwerk,Schuhmacher/in,Schuhmacher,"Rohstoffgewinnung, Produktion und Fertigung",9,rue de Grammont,rue de Gramont,2.33677,48.8697
1091,Hattner,Unbekannt,M,Selbstständig,Kaffeehausangehörige/r,Kaffeehaus Mülhausen,"Kaufmännische Dienstleistungen, Warenhandel, Vertrieb, Hotel und Tourismus",12,boulevard Montmartre,boulevard Montmartre,2.34155,48.8719
1092,Hauser,A.,M,Handwerk,Herausgeber/in,Kupferstichherausgeber,"Sprach-, Literatur-, Geistes-, Gesellschafts- und Wirtschaftswissenschaften, Medien, Kunst, Kultur und Gestaltung",11,boulevard des Italiens,boulevard des Italiens,2.33799,48.8715
1854,Haußmann,Unbekannt,M,Kunst/Erziehung,Kunstmaler/in,Kunstmaler,"Sprach-, Literatur-, Geistes-, Gesellschafts- und Wirtschaftswissenschaften, Medien, Kunst, Kultur und Gestaltung",6,rue Notre-Dame-des-Victoires,rue Notre-Dame-des-Victoires,2.34121,48.8668
1093,Hector,Unbekannt,M,Handwerk,Schneider/in,Schneider,"Rohstoffgewinnung, Produktion und Fertigung",3,rue de Marivaux-Italiens,rue de Marivaux,2.33754,48.8711
1094,Hegelbein,Unbekannt,M,Handwerk,Schneider/in,Schneider,"Rohstoffgewinnung, Produktion und Fertigung",78,rue Neuve-des-Petits-Champs,rue des Petits-Champs,2.33194,48.8678
1096,Heidecke,Unbekannt,M,Handwerk,Schneider/in,Schneider,"Rohstoffgewinnung, Produktion und Fertigung",35,rue de la Fontaine-Molière,rue Molière,2.33639,48.8653
1099,Helbronner,J.,M,Handwerk,Blumenmacher/in,Blumenmacher,"Sprach-, Literatur-, Geistes-, Gesellschafts- und Wirtschaftswissenschaften, Medien, Kunst, Kultur und Gestaltung",7,rue des Filles-Saint-Thomas,rue des Filles-Saint-Thomas,2.34112,48.8685
1098,Helbronner,Unbekannt,M,Handel,Blumenhändler/in,Feine Blumen,"Land-, Forst- und Tierwirtschaft und Gartenbau",5,boulevard Montmartre,boulevard Montmartre,2.34214,48.8715
2189,Held,F.,M,Handwerk,Kupferstecher/in (Künstler/in),Kupferstecher,"Sprach-, Literatur-, Geistes-, Gesellschafts- und Wirtschaftswissenschaften, Medien, Kunst, Kultur und Gestaltung",30,rue Croix-des-Petits-Champs,rue Croix-des-Petits-Champs,2.34011,48.864
1102,Heller,Unbekannt,M,Handel,Perlenhändler/in,Falsche Perlen u. Steine,"Kaufmännische Dienstleistungen, Warenhandel, Vertrieb, Hotel und Tourismus",17,rue Vivienne,rue Vivienne,2.33974,48.8684
1100,Heller,Unbekannt,M,Handel,Juwelier/in,Juwelier,"Kaufmännische Dienstleistungen, Warenhandel, Vertrieb, Hotel und Tourismus",17,rue Vivienne,rue Vivienne,2.33974,48.8684
1101,Heller,Unbekannt,M,Handel,Juwelier/in,Juwelier,"Kaufmännische Dienstleistungen, Warenhandel, Vertrieb, Hotel und Tourismus",19,rue Vivienne,rue Vivienne,2.3398,48.8685
1106,Hennebert,Unbekannt,F,Handwerk,Spitzennäher/in,Spitzenflickerin,"Rohstoffgewinnung, Produktion und Fertigung",47,rue Neuve-des-Petits-Champs,rue des Petits-Champs,2.33552,48.867
1108,Herler,Unbekannt,M,Handwerk,Schneider/in,Schneider,"Rohstoffgewinnung, Produktion und Fertigung",64,rue Sainte-Anne,rue Sainte-Anne,2.33662,48.8686
1110,Hermann,Unbekannt,F,Unbekannt,Unbekannt,Unbekannt,Unbekannt,4,rue de Marivaux-Italiens,rue de Marivaux,2.33754,48.8711
1112,Hermel,Unbekannt,M,Selbstständig,Arzt/Ärztin,Arzt,"Gesundheit, Soziales, Lehre und Erziehung",7,rue de Port-Mahon,rue de Port-Mahon,2.33397,48.8696
1113,Herr,Unbekannt,M,Handel,Handschuhhändler/in,Handschuhhändler,"Kaufmännische Dienstleistungen, Warenhandel, Vertrieb, Hotel und Tourismus",23,Palais-Royal,galerie de Valois,2.33797,48.8641
1116,Herzog,Unbekannt,M,Handel,Bürstenhändler/in,Bürsten u. Schuhe,"Kaufmännische Dienstleistungen, Warenhandel, Vertrieb, Hotel und Tourismus",2,rue de Jeannisson,Place André-Malraux,2.33528,48.8638
1118,Herzog,Unbekannt,M,Handwerk,Schneider/in,Schneider,"Rohstoffgewinnung, Produktion und Fertigung",3,rue Grétry,rue Grétry,2.33733,48.8703
2191,Heß,G.,M,Handwerk,Westenmacher/in,Westenfabrik,"Rohstoffgewinnung, Produktion und Fertigung",6,rue la Vrillière,rue la Vrillière,2.34027,48.8655
1119,Hesselbein,Unbekannt,M,Handwerk,Klavierfabrikant/in - Arbeiter/in,Klavierfabrik,"Sprach-, Literatur-, Geistes-, Gesellschafts- und Wirtschaftswissenschaften, Medien, Kunst, Kultur und Gestaltung",23,rue Vivienne,rue Vivienne,2.3399,48.8687
1120,Hestein,Unbekannt,F,Handwerk,Hebamme/Entbindungspfleger,Hebamme,"Gesundheit, Soziales, Lehre und Erziehung",33,rue Neuve-des-Petits-Champs,rue des Petits-Champs,2.33665,48.8668
1121,Hetzlen,Unbekannt,M,Selbstständig,Hotelassistent/in,Gasthaus,"Kaufmännische Dienstleistungen, Warenhandel, Vertrieb, Hotel und Tourismus",11,rue Notre-Dame-des-Victoires,rue Notre-Dame-des-Victoires,2.3417,48.8681
1122,Heu,Unbekannt,M,Selbstständig,Advokat/in,Advocat,"Unternehmensorganisation, Buchhaltung, Recht und Verwaltung",18,rue de Choiseul,rue de Choiseul,2.33597,48.8706
1125,Heugel,Unbekannt,M,Handel,Musikalienverleger/in,Musik-Heraugeber,"Sprach-, Literatur-, Geistes-, Gesellschafts- und Wirtschaftswissenschaften, Medien, Kunst, Kultur und Gestaltung",2,rue Vivienne,rue Vivienne,2.33891,48.8667
1126,Heydt,J.,M,Handwerk,Schuhmacher/in,Schuh- u. Stiefelmacher,"Rohstoffgewinnung, Produktion und Fertigung",4,rue d' Amboise,rue d' Amboise,2.33916,48.871
1135,Hoffmann,Unbekannt,M,Handwerk,Schneider/in,Schneider,"Rohstoffgewinnung, Produktion und Fertigung",46,rue Vivienne,rue Vivienne,2.33974,48.8684
1136,Hoffmann,J. Dietr.,M,Handwerk,Schneider/in,Schneider,"Rohstoffgewinnung, Produktion und Fertigung",2,rue Favart,rue Favart,2.33809,48.871
1141,Hofmayer,Unbekannt,F,Handel,Blumenhändler/in,Feine Blumen,"Land-, Forst- und Tierwirtschaft und Gartenbau",57,rue Sainte-Anne,rue Sainte-Anne,2.33624,48.8679
1140,Hofmayer,Unbekannt,F,Handel,Blumenhändler/in,Feine Blumen,"Land-, Forst- und Tierwirtschaft und Gartenbau",32,rue des Moulins,rue des Moulins,2.33522,48.867
1142,Hofmayer,Unbekannt,M,Handel,Spezereienhändler/in,Specereihändler,"Kaufmännische Dienstleistungen, Warenhandel, Vertrieb, Hotel und Tourismus",51,rue Sainte-Anne,rue Sainte-Anne,2.33596,48.8672
1879,Hölters,Unbekannt,M,Handwerk,Kleidermacher/in,Kleidermacher,"Rohstoffgewinnung, Produktion und Fertigung",5,rue de la Banque,rue de la Banque,2.34103,48.8681
1146,Homasmar,Unbekannt,M,Handel,"Tabakhändler/in, Tabakwarenhändler/in",Tabak,"Kaufmännische Dienstleistungen, Warenhandel, Vertrieb, Hotel und Tourismus",39,rue Saint-Marc,rue Saint-Marc,2.34142,48.8703
1147,Honacker,Unbekannt,M,Handwerk,Sattler/in,Sattler,"Rohstoffgewinnung, Produktion und Fertigung",6,rue Thérèse,rue Thérèse,2.33509,48.8664
1149,Hook,Unbekannt,M,Handwerk,Schuhmacher/in,Schuhmacher,"Rohstoffgewinnung, Produktion und Fertigung",2,rue de la Fontaine-Molière,rue Molière,2.33639,48.8653
1150,Horloski,Unbekannt,M,Handel,Leinwandhändler/in,Leinwandhändler,"Kaufmännische Dienstleistungen, Warenhandel, Vertrieb, Hotel und Tourismus",39,rue Neuve-des-Petits-Champs,rue des Petits-Champs,2.33626,48.8669
1158,Hostens,Unbekannt,M,Handwerk,Schuhmacher/in,Schuhmacher,"Rohstoffgewinnung, Produktion und Fertigung",9,rue de Grammont,rue de Gramont,2.33677,48.8697
1161,Hulek,Unbekannt,M,Handwerk,Schneider/in,Schneider,"Rohstoffgewinnung, Produktion und Fertigung",27,rue Saint-Marc,rue Saint-Marc,2.33997,48.8704
1162,Humann,Unbekannt,M,Handwerk,Schneider/in,Schneider,"Rohstoffgewinnung, Produktion und Fertigung",83,rue Neuve-des-Petits-Champs,rue des Petits-Champs,2.33242,48.8678
1165,Huß,Unbekannt,M,Handwerk,Schneider/in,Schneider,"Rohstoffgewinnung, Produktion und Fertigung",37,rue Saint-Marc,rue Saint-Marc,2.34142,48.8703
1166,Huzel,Unbekannt,M,Handel,Kostümhändler/in,Costümehändler,"Kaufmännische Dienstleistungen, Warenhandel, Vertrieb, Hotel und Tourismus",2,rue des Colonnes,rue des Colonnes,2.33948,48.869
1170,Inger,Unbekannt,F,Handel,Stickereihändler/in,Fertige Stickereien,"Kaufmännische Dienstleistungen, Warenhandel, Vertrieb, Hotel und Tourismus",4,rue de la Bourse,rue de la Bourse,2.33963,48.8695
1176,Jäger,Unbekannt,M,Handwerk,Schneider/in,Schneider,"Rohstoffgewinnung, Produktion und Fertigung",1,rue Feydeau,rue Feydeau,2.34106,48.87
1723,Jager-Schmidt,Unbekannt,M,Selbstständig,Advokat/in,Advocat,"Unternehmensorganisation, Buchhaltung, Recht und Verwaltung",3,rue de Choiseul,rue de Choiseul,2.33591,48.8692
1178,Jahn,Unbekannt,M,Handwerk,Schneider/in,Schneider,"Rohstoffgewinnung, Produktion und Fertigung",6,rue Villedo,rue Villedo,2.3364,48.8662
1179,Jankowski,Unbekannt,M,Handwerk,Verpacker/in,Verpacker,"Verkehr, Logistik, Schutz und Sicherheit",91,rue Neuve-des-Petits-Champs,rue des Petits-Champs,2.33194,48.8678
2197,Janssen,Unbekannt,M,Handwerk,Damenschuhmacher/in,Damenschuhmacher,"Rohstoffgewinnung, Produktion und Fertigung",3,rue Neuve-des-Bons-Enfants,rue Radziwill,2.33897,48.8647
1181,Janssens,Unbekannt,M,Handwerk,Schneider/in,Schneider,"Rohstoffgewinnung, Produktion und Fertigung",112,rue de Richelieu,rue de Richelieu,2.33837,48.868
1182,Jekel,Unbekannt,Unbekannt,Handwerk,Schneider/in,Schneider,"Rohstoffgewinnung, Produktion und Fertigung",13,rue du Hasard,rue Thérèse,2.3357,48.8661
1183,Jonas-Lavater,Unbekannt,M,Kunst/Erziehung,Bibliotheksassistent/in,Lesekabinet,"Unternehmensorganisation, Buchhaltung, Recht und Verwaltung",5,boulevard Montmartre,boulevard Montmartre,2.34214,48.8715
1188,Kandel,Unbekannt,M,Handwerk,Schneider/in,Schneider,"Rohstoffgewinnung, Produktion und Fertigung",8,rue Favart,rue Favart,2.33796,48.8706
1190,Kauffmann,Unbekannt,M,Selbstständig,Speisewirt/in,Speisewirth,"Kaufmännische Dienstleistungen, Warenhandel, Vertrieb, Hotel und Tourismus",2,rue de Marivaux-Italiens,rue de Marivaux,2.33754,48.8711
1197,Kayser-Renouard,Unbekannt,M,Handel,Seidenhändler/in,Seidenstoffe für Möbel,"Kaufmännische Dienstleistungen, Warenhandel, Vertrieb, Hotel und Tourismus",14,boulevard des Italiens,boulevard des Italiens,2.337,48.8714
1198,Kegebein,Friedrich,M,Handwerk,Schneider/in,Schneider,"Rohstoffgewinnung, Produktion und Fertigung",81,rue Neuve-des-Petits-Champs,rue des Petits-Champs,2.33257,48.8677
1200,Keil,Unbekannt,M,Handwerk,Schneider/in,Schneider,"Rohstoffgewinnung, Produktion und Fertigung",35,rue Neuve-des-Petits-Champs,rue des Petits-Champs,2.33647,48.8668
1206,Kelm,J.,F,Handel,Hausvermieter/in,Modenwaarenhandlung,"Eigentümer, Besitzer und Mieter",17,boulevard des Italiens,boulevard des Italiens,2.337,48.8714
1238,Keßler,Unbekannt,M,Handwerk,Schneider/in,Schneider,"Rohstoffgewinnung, Produktion und Fertigung",31,rue de Richelieu,rue de Richelieu,2.33633,48.8647
1239,Keßler,Unbekannt,M,Handwerk,Schneider/in,Schneider,"Rohstoffgewinnung, Produktion und Fertigung",43,rue de Richelieu,rue de Richelieu,2.33666,48.8654
1240,Keucke,Unbekannt,M,Handwerk,Schneider/in,Schneider,"Rohstoffgewinnung, Produktion und Fertigung",31,rue Vivienne,rue Vivienne,2.33974,48.8684
1245,Kiesel,Unbekannt,M,Handwerk,Polsterer/Polsterin,Polsterer,"Rohstoffgewinnung, Produktion und Fertigung",16,rue de Choiseul,rue de Choiseul,2.33597,48.8706
1246,Kilian,Unbekannt,M,Handwerk,Schneider/in,Schneider,"Rohstoffgewinnung, Produktion und Fertigung",5,rue des Filles-Saint-Thomas,rue des Filles-Saint-Thomas,2.3412,48.8685
1249,Kirchner,Unbekannt,M,Handwerk,Schneidermeister/in,Schneidermeister,"Rohstoffgewinnung, Produktion und Fertigung",2,rue Vivienne,rue Vivienne,2.33891,48.8667
1250,Kirschenbilder,Unbekannt,M,Handwerk,Tschismenmacher/in,Stiefelmacher,"Rohstoffgewinnung, Produktion und Fertigung",1,rue du Hasard,rue Thérèse,2.33639,48.8657
4257,Kissel,Unbekannt,M,Handel,Korsetthändler/in,Korsetten,"Kaufmännische Dienstleistungen, Warenhandel, Vertrieb, Hotel und Tourismus",19,rue des Bons-Enfants,rue des Bons-Enfants,2.33895,48.8641
1252,Kleber,Unbekannt,M,Handwerk,Schneider/in,Schneider,"Rohstoffgewinnung, Produktion und Fertigung",30,rue Feydeau,rue Feydeau,2.33947,48.8698
1251,Kleber,Unbekannt,F,Handel,Milchhändler/in,Milchladen,"Kaufmännische Dienstleistungen, Warenhandel, Vertrieb, Hotel und Tourismus",34,rue de Richelieu,rue de Richelieu,2.33691,48.8657
1255,Klein,Unbekannt,M,Handwerk,Musterzeichner/in - Stickerei,Zeichner für Stickmuster,"Rohstoffgewinnung, Produktion und Fertigung",49,Galerie Vivienne,Galerie Vivienne,2.33972,48.8667
1261,Klemm,Ch.,M,Handwerk,Tapezierer/in,Tapezierer,"Bau, Architektur, Vermessung und Gebäudetechnik",8,rue de Ventadour,rue de Ventadour,2.33457,48.8672
4280,Klotz,Unbekannt,M,Handel,Textilgroßhändler/in,Halsbinden im Großen,"Kaufmännische Dienstleistungen, Warenhandel, Vertrieb, Hotel und Tourismus",2,Place des Victoires,Place des Victoires,2.34111,48.8658
1282,Kohler,Unbekannt,M,Handwerk,Ebenist/in,Ebenist,"Rohstoffgewinnung, Produktion und Fertigung",58,rue Sainte-Anne,rue Sainte-Anne,2.33646,48.8682
1284,Kolb,Unbekannt,M,Handwerk,Nähwarenhändler/in,Näharbeiten,"Kaufmännische Dienstleistungen, Warenhandel, Vertrieb, Hotel und Tourismus",39,rue de Richelieu,rue de Richelieu,2.33656,48.8652
1931,König,Unbekannt,M,Kunst/Erziehung,Singlehrer/in,Singlehrer,"Gesundheit, Soziales, Lehre und Erziehung",16,galerie Colbert,rue Vivienne,2.33974,48.8684
1288,Kontzag,Unbekannt,M,Handwerk,Schneider/in,Schneider,"Rohstoffgewinnung, Produktion und Fertigung",2,rue des Moulins,rue des Moulins,2.33507,48.8668
1287,Kontzag,Unbekannt,Unbekannt,Handwerk,Schneider/in,Schneider,"Rohstoffgewinnung, Produktion und Fertigung",34,rue Saint-Marc,rue Saint-Marc,2.34142,48.8703
1290,Kopp,Unbekannt,Unbekannt,Handwerk,Strohhutfabrikant/in - Arbeiter/in,Strohhutfabrikant,"Rohstoffgewinnung, Produktion und Fertigung",90,rue de Richelieu,rue de Richelieu,2.33928,48.8702
1940,Kormann,Unbekannt,M,Selbstständig,Hotelangehörige/r,Hôtel Saint-Pierre,"Kaufmännische Dienstleistungen, Warenhandel, Vertrieb, Hotel und Tourismus",22,rue Notre-Dame-des-Victoires,rue Notre-Dame-des-Victoires,2.34167,48.8678
1296,Kremer,Unbekannt,M,Handwerk,Schneider/in,Schneider,"Rohstoffgewinnung, Produktion und Fertigung",10,rue Vivienne,rue Vivienne,2.33934,48.8675
1297,Kretly,A.,M,Handwerk,Posamentierer/in,Posamentirer,"Rohstoffgewinnung, Produktion und Fertigung",46,Palais-Royal,galerie de Valois,2.33797,48.8641
1300,Krettly,A.,M,Handwerk,Schreiner/in,Schreiner,"Rohstoffgewinnung, Produktion und Fertigung",7,rue de Valois,rue de Valois,2.33844,48.8645
1304,Kretz,Unbekannt,M,Handwerk,Textilhändler/in (Einzelhandel),Stickereien,"Kaufmännische Dienstleistungen, Warenhandel, Vertrieb, Hotel und Tourismus",7,rue de Choiseul,rue de Choiseul,2.33591,48.8695
1305,Krieg,Unbekannt,M,Handwerk,Schneider/in,Schneider,"Rohstoffgewinnung, Produktion und Fertigung",2,rue Gaillon,rue Gaillon,2.33375,48.8676
1950,Kroll,Unbekannt,M,Handwerk,Mundstückmacher/in,Mundstückmacher,"Sprach-, Literatur-, Geistes-, Gesellschafts- und Wirtschaftswissenschaften, Medien, Kunst, Kultur und Gestaltung",17,rue Croix-des-Petits-Champs,rue Croix-des-Petits-Champs,2.33962,48.8632
1307,Kronauge,F. A.,M,Kunst/Erziehung,"Institutsvorsteher/in
",Vorsteher des Polyglottischen Instituts; Herausgeber des Adreßbuches der Deutschen in London und Paris; Uebersetzungen ,"Gesundheit, Soziales, Lehre und Erziehung
",57,rue de Richelieu,rue de Richelieu,2.33837,48.868
1308,Krone,Unbekannt,M,Selbstständig,Kaffeehausangehörige/r,Kaffeehaus,"Kaufmännische Dienstleistungen, Warenhandel, Vertrieb, Hotel und Tourismus",1,rue Feydeau,rue Feydeau,2.34106,48.87
1957,Kuhn,Unbekannt,F,Kunst/Erziehung,Schreiblehrer/in,Schreiblehrerin,"Gesundheit, Soziales, Lehre und Erziehung",Unbekannt,Rotonde Colbert,rue Vivienne,2.33974,48.8684
1958,Kuhn,Unbekannt,F,Handel,Modehändler/in,Modewaaren,"Kaufmännische Dienstleistungen, Warenhandel, Vertrieb, Hotel und Tourismus",Unbekannt,Rotonde Colbert,rue Vivienne,2.33974,48.8684
1319,Kunt,Unbekannt,M,Handwerk,Schneider/in,Schneider,"Rohstoffgewinnung, Produktion und Fertigung",5,rue des Filles-Saint-Thomas,rue des Filles-Saint-Thomas,2.3412,48.8685
1326,Kußler,Unbekannt,M,Handel,Bierbrauer/in,Bayerisches u. Straßburger Bier,"Rohstoffgewinnung, Produktion und Fertigung",23,rue de la Fontaine-Molière,rue Molière,2.33639,48.8653
4249,Kysäns,Unbekannt,M,Rentner,Rentner/in,Rentner,"Beschäftigungslose, Schüler, Unbekannte",10,Place de la Bourse,Place de la Bourse,2.34139,48.8692
1329,Laden,Unbekannt,M,Selbstständig,"Amtsadvokat/in, Oberamtsadvokat/in",Advocat erster Instanz,"Unternehmensorganisation, Buchhaltung, Recht und Verwaltung",25,rue Sainte-Anne,rue Sainte-Anne,2.33518,48.8657
1335,Lang,Unbekannt,M,Handwerk,Färber/in - Textil,Färber,"Rohstoffgewinnung, Produktion und Fertigung",3,rue Feydeau,rue Feydeau,2.34219,48.8701
1333,Lang,Unbekannt,M,Handwerk,Instrumentenstimmer/in,Instrumentenstimmer,"Sprach-, Literatur-, Geistes-, Gesellschafts- und Wirtschaftswissenschaften, Medien, Kunst, Kultur und Gestaltung",17,rue Neuve-des-Petits-Champs,rue des Petits-Champs,2.33812,48.8664
1346,Lappe,Unbekannt,M,Handwerk,Schneider/in,Schneider,"Rohstoffgewinnung, Produktion und Fertigung",48,rue de Richelieu,rue de Richelieu,2.33722,48.8663
1341,Laß,Unbekannt,M,Kunst/Erziehung,Deutschlehrer/in (Deutsch als Fremdsprache),Lehrer der deutschen u. französischen Sprache,"Gesundheit, Soziales, Lehre und Erziehung",17,rue de la Fontaine-Molière,rue Molière,2.33639,48.8653
1342,Lebel,Unbekannt,M,Handel,Weinhändler/in (Einzelhandel),Weinhändler,"Kaufmännische Dienstleistungen, Warenhandel, Vertrieb, Hotel und Tourismus",25,rue de la Fontaine-Molière,rue Molière,2.33639,48.8653
